nome,nparti,semana,ano,data,cidade,estado,5km,10km,21km,42km
MARATONA INTERNACIONAL DO RIO DE JANEIRO 2025,54653,26,2025,22/06/2025,RIO DE JANEIRO,RJ,1,1,1,1
100 CORRIDA INTERNACIONAL DE SAO SILVESTRE,52329,53,2025,31/12/2025,SAO PAULO,SP,0,0,1,0
MARATONA INTERNACIONAL DO RIO DE JANEIRO 2024,39364,23,2024,02/06/2024,RIO DE JANEIRO,RJ,1,1,1,1
99 CORRIDA INTERNACIONAL DE SAO SILVESTRE,35362,53,2024,31/12/2024,SAO PAULO,SP,0,0,1,0
98 CORRIDA INTERNACIONAL DE SAO SILVESTRE,32546,53,2023,31/12/2023,SAO PAULO,SP,0,0,1,0
95 CORRIDA INTERNACIONAL DE SAO SILVESTRE,30332,53,2019,31/12/2019,SAO PAULO,SP,0,0,1,0
MARATONA INTERNACIONAL DO RIO DE JANEIRO 2023,29821,24,2023,11/06/2023,RIO DE JANEIRO,RJ,1,1,1,1
94 CORRIDA INTERNACIONAL DE SAO SILVESTRE,26500,53,2018,31/12/2018,SAO PAULO,SP,0,0,1,0
93 CORRIDA INTERNACIONAL DE SAO SILVESTRE,26114,53,2017,31/12/2017,SAO PAULO,SP,0,0,1,0
90 CORRIDA INTERNACIONAL DE SAO SILVESTRE,24439,53,2014,31/12/2014,SAO PAULO,SP,0,0,1,0
92 CORRIDA INTERNACIONAL DE SAO SILVESTRE,23857,53,2016,31/12/2016,SAO PAULO,SP,0,0,1,0
91 CORRIDA INTERNACIONAL DE SAO SILVESTRE,23622,53,2015,31/12/2015,SAO PAULO,SP,0,0,1,0
89 CORRIDA INTERNACIONAL DE SAO SILVESTRE,22734,53,2013,31/12/2013,SAO PAULO,SP,0,0,1,0
97 CORRIDA INTERNACIONAL DE SAO SILVESTRE,21861,53,2022,31/12/2022,SAO PAULO,SP,0,0,1,0
SP CITY MARATHON 2025,21501,31,2025,27/07/2025,SAO PAULO,SP,0,0,1,1
CIRCUITO JUNTOS - BOTA PRA CORRER - SAO PAULO 2025,21363,34,2025,17/08/2025,SAO PAULO,SP,1,1,0,0
88 CORRIDA INTERNACIONAL DE SAO SILVESTRE,20971,53,2012,31/12/2012,SAO PAULO,SP,0,0,1,0
10 KM TRIBUNA FM - 39 EDICAO,20898,21,2025,18/05/2025,SANTOS,SP,0,1,0,0
MARATONA INTERNACIONAL DE PORTO ALEGRE 2025,19670,24,2025,08/06/2025,PORTO ALEGRE,RS,1,1,1,1
27 MEIA MARATONA INTERNACIONAL DO RIO DE JANEIRO,19312,34,2025,17/08/2025,RIO DE JANEIRO,RJ,1,1,1,0
CORRIDA DO BOB ESPONJA,19299,25,2025,15/06/2025,BELO HORIZONTE,MG,1,1,0,0
87 CORRIDA INTERNACIONAL DE SAO SILVESTRE,19205,53,2011,31/12/2011,SAO PAULO,SP,0,0,1,0
26 VOLTA INTL DA PAMPULHA 2025,18346,50,2025,07/12/2025,BELO HORIZONTE,MG,0,0,1,0
10KM TRIBUNA FM SANTOS 2024,18287,21,2024,19/05/2024,SANTOS,SP,0,1,0,0
85 CORRIDA INTERNACIONAL DE SAO SILVESTRE,18055,53,2009,31/12/2009,SAO PAULO,SP,0,0,1,0
86 CORRIDA INTERNACIONAL DE SAO SILVESTRE,18040,53,2010,31/12/2010,SAO PAULO,SP,0,0,1,0
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - RIO DE JANEIRO,17805,39,2025,21/09/2025,RIO DE JANEIRO,RJ,1,1,1,0
SP CITY MARATHON 2024,17537,31,2024,28/07/2024,SAO PAULO,SP,0,0,1,1
CORRIDA DO GALO 2025,17173,35,2025,24/08/2025,BELO HORIZONTE,MG,1,1,0,0
84 CORRIDA INTERNACIONAL DE SAO SILVESTRE,17117,53,2008,31/12/2008,SAO PAULO,SP,0,0,1,0
MARATONA INTERNACIONAL DE SAO PAULO 2025,16806,15,2025,06/04/2025,SAO PAULO,SP,1,1,1,1
CIRCUITO DAS ESTACOES 2025 - PRIMAVERA - SAO PAULO,16568,37,2025,07/09/2025,SAO PAULO,SP,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - INVERNO - RIO DE JANEIRO,16473,23,2025,01/06/2025,RIO DE JANEIRO,RJ,1,1,1,0
83 CORRIDA INTERNACIONAL DE SAO SILVESTRE,16421,53,2007,31/12/2007,SAO PAULO,SP,0,0,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - RIO DE JANEIRO,16394,50,2025,07/12/2025,RIO DE JANEIRO,RJ,1,1,0,0
25 VOLTA INTERNACIONAL DA PAMPULHA 2024,16215,50,2024,08/12/2024,BELO HORIZONTE,MG,0,0,1,0
10KM TRIBUNA FM SANTOS 2023,15984,21,2023,21/05/2023,SANTOS,SP,0,1,0,0
96 CORRIDA INTERNACIONAL DE SAO SILVESTRE,15798,53,2021,31/12/2021,SAO PAULO,SP,0,0,1,0
MARATONA INTERNACIONAL DE FLORIPA 2025,15439,36,2025,31/08/2025,FLORIANOPOLIS,SC,1,0,1,1
CIRCUITO DAS ESTACOES 2025 - INVERNO - SAO PAULO,14945,27,2025,29/06/2025,SAO PAULO,SP,1,1,1,0
CIRCUITO DAS ESTACOES 2024 - PRIMAVERA - RIO DE JANEIRO,14766,42,2024,13/10/2024,RIO DE JANEIRO,RJ,1,1,1,0
RJ HALF MARATHON 2025,14673,18,2025,27/04/2025,RIO DE JANEIRO,RJ,1,0,1,0
CIRCUITO DAS ESTACOES 2024 - VERAO - RIO DE JANEIRO,14645,50,2024,08/12/2024,RIO DE JANEIRO,RJ,1,1,0,0
DEZ MILHAS GAROTO 2025,14634,40,2025,28/09/2025,VILA VELHA,ES,0,0,1,0
CIRCUITO DAS ESTACOES 2025 - OUTONO - RIO DE JANEIRO,14560,12,2025,16/03/2025,RIO DE JANEIRO,RJ,1,1,1,0
CIRCUITO DAS ESTACOES 2025 - VERAO - SAO PAULO,14406,51,2025,14/12/2025,SAO PAULO,SP,1,1,0,0
CIRCUITO DAS ESTACOES 2024 - VERAO - SAO PAULO,14342,51,2024,15/12/2024,SAO PAULO,SP,1,1,0,0
53 CORRIDA DE REIS BRASILIA,14310,5,2026,31/01/2026,BRASILIA,DF,0,1,0,0
CORRIDA SUPERMERCADOS BH,14297,14,2025,30/03/2025,BELO HORIZONTE,MG,1,1,1,0
CIRCUITO DAS ESTACOES 2024 - INVERNO - SAO PAULO,14272,26,2024,23/06/2024,SAO PAULO,SP,1,1,1,0
MARATONA DE CURITIBA 2025,13541,48,2025,23/11/2025,CURITIBA,PR,1,1,1,1
XI INCLUSAO A TODA PROVA - CORRIDA E CAMINHADA PELA INCLUSAO,11767,50,2025,07/12/2025,SAO PAULO,SP,0,1,0,0
40 CORRIDA INTEGRACAO CAMPINAS - 2025,11735,40,2025,28/09/2025,CAMPINAS,SP,1,1,1,0
FLA RUN 2025 - 130 ANOS,10952,46,2025,09/11/2025,RIO DE JANEIRO,RJ,1,1,0,0
NIGHT RUN 2025 - ETAPA 2 - SAO PAULO,10936,44,2025,01/11/2025,SAO PAULO,SP,1,1,0,0
ATHENAS RUN LONGER 2025,10926,43,2025,19/10/2025,SAO PAULO,SP,0,1,1,1
CORRIDA E CAMINHADA PELA INCLUSAO OLGA KOS RIO ANO IV,10434,51,2025,14/12/2025,RIO DE JANEIRO,RJ,1,1,0,0
CORRIDA PMMG 250 ANOS 2025,10125,28,2025,06/07/2025,BELO HORIZONTE,MG,1,1,0,0
41 CORRIDA DE REIS - CUIABAA,9768,3,2026,12/01/2026,CUIABA,MT,0,1,0,0
CIRCUITO RJ 2025 - 2 ETAPA,9117,41,2025,05/10/2025,RIO DE JANEIRO,RJ,1,1,0,0
3 CORRIDA DO BAHEA - SUNSET,9107,49,2025,30/11/2025,SALVADOR,BA,1,1,0,0
62 CORRIDA E CAMINHADA CONTRA O CANCER DE MAMA,8849,42,2025,12/10/2025,SAO PAULO,SP,1,1,0,0
CORRIDA DO CRUZEIRO 2025,8828,43,2025,19/10/2025,BELO HORIZONTE,MG,1,1,0,0
MARATONA DE ARACAJU 2025,8787,44,2025,26/10/2025,ARACAJU,SE,1,1,1,1
CIRCUITO RJ 2025 - 1 ETAPA,8702,32,2025,03/08/2025,RIO DE JANEIRO,RJ,1,1,0,0
MEIA MARATONA DE JOAO PESSOA - 2025,8569,47,2025,16/11/2025,JOAO PESSOA,PB,1,1,1,0
CORRIDA DO PANTANAL 2025,8563,42,2025,12/10/2025,CAMPO GRANDE,MS,1,1,1,0
RIO S21K - 2025,8562,37,2025,07/09/2025,RIO DE JANEIRO,RJ,1,0,1,0
CORRIDA DAS PODEROSAS 2025 - 2 ETAPA,8461,30,2025,20/07/2025,RIO DE JANEIRO,RJ,1,1,0,0
MARATONA MONUMENTAL DE BRASILIA 2025,8381,48,2025,23/11/2025,BRASILIA,DF,1,1,1,1
ECO RUN - SAO PAULO - 2025,8288,25,2025,15/06/2025,SAO PAULO,SP,1,1,0,0
5K TRIBUNA - 2025,8165,50,2025,07/12/2025,SANTOS,SP,1,0,0,0
ECO RUN - RIO DE JANEIRO - 2025,8155,31,2025,27/07/2025,RIO DE JANEIRO,RJ,1,1,0,0
CORRIDA DE ANIVERSARIO DO MUSAL,8074,29,2025,13/07/2025,RIO DE JANEIRO,RJ,1,0,0,0
16 MEIA MARATONA INTERNACIONAL DE BH,8037,23,2025,01/06/2025,BELO HORIZONTE,MG,1,1,1,0
MEIA DE SAMPA 2025 - SAO PAULO,7940,47,2025,16/11/2025,SAO PAULO,SP,1,0,1,0
CORRIDA NOTURNA RUNLLOWEEN,7893,44,2025,01/11/2025,RIO DE JANEIRO,RJ,1,0,0,0
CIRCUITO RJ 2025 - 3 ETAPA,7873,52,2025,21/12/2025,RIO DE JANEIRO,RJ,1,1,0,0
MARATONA DE SALVADOR 2025,7740,39,2025,21/09/2025,SALVADOR,BA,1,1,1,1
14 CORRIDA TURISTICA DE PIRACICABA,7482,27,2025,29/06/2025,PIRACICABA,SP,0,1,1,0
CORRIDA 100% VOCE - MACEIO,7477,38,2025,16/09/2025,MACEIO,AL,1,1,0,0
NETSHOES RUN SAO PAULO,7343,35,2025,24/08/2025,SAO PAULO,SP,1,1,1,0
TRICOLOR RUN NIGHT 2025 - 20 ANOS DO TRI,7322,28,2025,12/07/2025,SAO PAULO,SP,1,1,0,0
CORRIDA DO GER,7305,7,2026,08/02/2026,BELO HORIZONTE,MG,1,1,0,0
RIO 21K,7300,31,2025,27/07/2025,RIO DE JANEIRO,RJ,1,0,1,0
VENUS WOMEN'S HALF MARATHON 2025,7163,49,2025,30/11/2025,SAO PAULO,SP,1,1,1,0
40 CORRIDA DO CIRIO - 2025,7112,44,2025,26/10/2025,BELEM,PA,1,1,0,0
21 MEIA MARATONA DE SAO BERNARDO DO CAMPO,7042,35,2025,24/08/2025,SAO BERNARDO DO CAMPO,SP,1,1,1,0
NEW BALANCE,6929,33,2025,10/08/2025,SAO PAULO,SP,0,1,1,0
CORRIDA E CAMINHADA PELA INCLULSAO OLGA KOS BRASILIA ANO III,6806,49,2025,30/11/2025,BRASILIA,DF,1,1,0,0
OLKA KOSS II 2025,6806,49,2025,30/11/2025,BRASILIA,DF,1,1,0,0
